country,date,GDP,Households and NPISHs Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP)
Turkey,1982,64546332580.7583,59.4241436495683,0.0852101084615238,11.8640513905568,15.0168696746154
Turkey,1981,71040020140.4436,59.2330084799393,0.133727439564612,8.23693203391976,12.9046956081509
Turkey,1980,68789289565.7434,61.1535961457577,0.0261668642220778,5.16193170955531,11.927885902191
Turkey,1979,89394085658.2038,55.4731651128469,0.0838981678125337,3.21802670890177,5.88171772074439
Turkey,1978,65147022485.7919,57.9366584487009,0.0521896453631709,4.14691194133637,7.28870345786712
Turkey,1977,58676813687.3681,57.1428571428571,0.0460147685316671,3.81520401401117,10.7071854586765
Turkey,1976,51280134554.2889,56.0738581146744,0.0195007288629738,4.85908649173955,10.6656948493683
Turkey,1975,44633707242.7642,58.9512876202296,0.255412348743407,4.42134657151722,11.231771641328
Turkey,1974,35599913836.4328,61.0326744655103,0.179775716014522,5.72811617587737,11.2747075433643
Turkey,1973,25724381625.4417,57.8296703296703,0.307101648351648,7.03296703296703,9.09340659340659
Turkey,1972,20431095406.3604,56.5202352127292,0.210463507436873,6.01867865790384,8.54375648564511
Turkey,1971,16256619963.7997,56.2061855670103,0.27681030927835,5.31958762886598,8.24742268041237
Turkey,1970,17086956521.7391,51.9592875318066,0.339440203562341,4.42748091603053,6.36132315521628
Turkey,1969,19466666666.6667,51.1986301369863,,3.5958904109589,4.73744292237443
Turkey,1968,17500000000.0,51.1111111111111,,3.68253968253968,5.07936507936508
Turkey,1967,15644444444.4444,51.2784090909091,,4.11931818181818,4.97159090909091
Turkey,1966,14100000000.0,52.0882584712372,,4.09771473601261,5.67375886524823
Turkey,1965,11966666666.6667,52.4605385329619,,4.54967502321263,5.38532961931291
Turkey,1964,11177777777.7778,53.5785288270378,,4.47316103379722,5.46719681908549
Turkey,1963,10355555555.5556,54.9356223175966,,4.18454935622318,6.97424892703863
Turkey,1962,8922222222.22222,55.4171855541719,,5.60398505603985,7.97011207970112
Turkey,1961,7988888888.88889,56.3282336578581,,5.14603616133519,6.81502086230876
Turkey,1960,13995067817.5092,56.3876651982379,,2.05580029368576,3.67107195301028
